# Swedish translations for the prompts in narrator package.
# These translations may be overridden by translations provided to the build script.
#
# "identifier";"translation"[;"basename"]*


#
# Date and time
#

"Monday";"Monday"
"Tuesday";"Tuesday"
"Wednesday";"Wednesday"
"Thursday";"Thursday"
"Friday";"Friday"
"Saturday";"Saturday"
"Sunday";"Sunday"

"1st";"first"
"2nd";"second"
"3rd";"third"
"4th";"fourth"
"5th";"fifth"
"6th";"sixth"
"7th";"seventh"
"8th";"eight"
"9th";"ninth"
"10th";"tenth"
"11th";"eleventh"
"12th";"twelfth"
"13th";"thirteenth"
"14th";"fourteenth"
"15th";"fifteenth"
"16th";"sixteenth"
"17th";"seventeenth"
"18th";"eighteenth"
"19th";"nineteenth"
"20th";"twentieth"
"21st";"twenty first"
"22nd";"twenty second"
"23rd";"twenty third"
"24th";"twenty fourth"
"25th";"twenty fifth"
"26th";"twenty sixth"
"27th";"twenty seventh"
"28th";"twenty eight"
"29th";"twenty ninth"
"30th";"thirtieth"
"31st";"thirty first"

"jan";"January"
"feb";"February"
"mar";"March"
"apr";"April"
"may";"May"
"jun";"June"
"jul";"July"
"aug";"August"
"sep";"September"
"oct";"October"
"nov";"November"
"dec";"December"

"{dayname} {date} of {month} {year} {yearnum}";"the {date:date(date)} of {month:date(month)} {year:date(year)}"
"{hour} {hour12} {minute} {second} {ampm}";"{hour:number} {minute:date(minute)} {second:date(second)}"
"am";"am"
"pm";"pm"
"year {year}";"year {year:number}"
"{year}";"{year:number}"
"year";"year"

"one hour";"one hour"
"{2} hours";"{2:number} hours"
"one minute";"one minute"
"{2} minutes";"{2:number} minutes"
"one second";"one second"
"{2} seconds";"{2:number} seconds"
"hours";"hours"
"minutes";"minutes"
"seconds";"seconds"
"one day";"one day"
"{2} days";"{2:number} days"
"one month";"one month"
"{2} months";"{2:number} months"
"one year";"one year"
"{2} years";"{2:number} years"
"and";"and"

#
# Numbers
#

"plus";"plus"
"minus";"minus"
"{number}";"{number:number}"
"zero";"zero";"0"
"one";"one";"1"
"one_special";"one";"1-one"
"two";"two";"2"
"three";"three";"3"
"four";"four";"4"
"five";"five";"5"
"six";"six";"6"
"seven";"seven";"7"
"eight";"eight";"8"
"nine";"nine";"9"
"ten";"ten";"10"
"eleven";"eleven";"11"
"twelve";"twelve";"12"
"thirteen";"thirteen";"13"
"fourteen";"fourteen";"14"
"fifteen";"fifteen";"15"
"sixteen";"sixteen";"16"
"seventeen";"seventeen";"17"
"eighteen";"nineteen";"18"
"nineteen";"nineteen";"19"
"twenty";"thirty";"20"
"thirty";"thirty";"30"
"fourty";"forty";"40"
"fifty";"fifty";"50"
"sixty";"sixty";"60"
"seventy";"seventy";"70"
"eighty";"eighty";"80"
"ninety";"ninety";"90"
"one hundred";"one hundred";"100-one"
"hundred";"hundred";"100"
"one thousand";"one thousand";"1000-one"
"thousand";"thousand";"1000"

#
# Letters and symbols
#

"A";"A"
"B";"B"
"C";"C"
"D";"D"
"E";"E"
"F";"F"
"G";"G"
"H";"H"
"I";"I"
"J";"J"
"K";"K"
"L";"L"
"M";"M"
"N";"N"
"O";"O"
"P";"P"
"Q";"Q"
"R";"R"
"S";"S"
"T";"T"
"U";"U"
"V";"V"
"W";"W"
"X";"X"
"Y";"Y"
"Z";"Z"

"!";"exclamation mark"
"#";"hash tag"
"%";"percent"
"*";"star"
"+";"plus"
",";"comma"
"-";"minus"
".";"dot"
"/";"slash"
":";"colon"
";";"semi colon"
"?";"question mark"
"@";"at"
"_";"underscore"
"~";"tilde"

#
# Special prompts
#

"longpause";"longpause"
"shortpause";"shortpause"
"wait";"wait"
