# Swedish translations for the prompts in narrator package.
# These translations may be overridden by translations provided to the build script.
#
# "identifier";"translation"[;"basename"]*

#
# Dates and time
#

"Monday";"maanantai"
"Tuesday";"tiistai"
"Wednesday";"keskiviikko"
"Thursday";"torstai"
"Friday";"perjantai"
"Saturday";"lauantai"
"Sunday";"sunnuntai"

"1st";"ensimmäinen"
"2nd";"toinen"
"3rd";"kolmas"
"4th";"neljäs"
"5th";"viides"
"6th";"kuudes"
"7th";"seitsemäs"
"8th";"kahdeksas"
"9th";"yhdeksäs"
"10th";"kymmenes"
"11th";"yhdestoista"
"12th";"kahdestoista"
"13th";"kolmastoista"
"14th";"neljästoista"
"15th";"viidestoista"
"16th";"kuudestoista"
"17th";"seitsemästoista"
"18th";"kahdeksastoista"
"19th";"yhdeksästoista"
"20th";"kahdeskymmenes"
"21st";"kahdeskymmenes ensimmäinen"
"22nd";"kahdeskymmenes toinen"
"23rd";"kahdeskymmenes kolmas"
"24th";"kahdeskymmenes neljäs"
"25th";"kahdeskymmenes viides"
"26th";"kahdeskymmenes kuudes"
"27th";"kahdeskymmenes seitsemäs"
"28th";"kahdeskymmenes kahdeksas"
"29th";"kahdeskymmenes yhdeksäs"
"30th";"kolmaskymmenes"
"31st";"kolmaskymmenes ensimmäinen"

"jan";"tammikuuta"
"feb";"helmikuuta"
"mar";"maaliskuuta"
"apr";"huuhtikuuta"
"may";"toukokuuta"
"jun";"kesäkuuta"
"jul";"heinäkuuta"
"aug";"elokuuta"
"sep";"syyskuuta"
"oct";"lokakuuta"
"nov";"marraskuuta"
"dec";"joulukuuta"

"{dayname} {date} of {month} {year} {yearnum}";"{date:date(date)} päivä {month:date(month)} {year:date(year)}"
"{hour} {hour12} {minute} {second} {ampm}";"kello {hour:number} {minute:date(minute)} {second:date(second)}"
#"{year}";"{year:number}"
#"year";"Vuonna"

"one hour";"yksi tunti"
"{2} hours";"{2:number} tuntia"
"one minute";"yksi minuutti"
"{2} minutes";"{2:number} minuuttia"
"one second";"yksi sekunti"
"{2} seconds";"{2:number} sekuntia"
#"hours"
#"minutes"
#"seconds"
"and";"ja"

#
# Numbers
#

"plus";"plus"
"minus";"miinus"
#"{number}";"{number:number}"
"zero";"nolla";"0"
"one";"yksi";"1"
"one_special";"yksi";"1"
"two";"kaksi";"2"
"three";"kolme";"3"
"four";"neljä";"4"
"five";"viisi";"5"
"six";"kuusi";"6"
"seven";"seitsemän";"7"
"eight";"kahdeksan";"8"
"nine";"yhdeksän";"9"
"ten";"kymmenen";"10"
"eleven";"yksitoista";"11"
"twelve";"kaksitoista";"12"
"thirteen";"kolmetoista";"13"
"fourteen";"neljätoista";"14"
"fifteen";"viisitoista";"15"
"sixteen";"kuusitoista";"16"
"seventeen";"seitsemäntoista";"17"
"eighteen";"kahdeksantoista";"18"
"nineteen";"yhdeksäntoista";"19"
"twenty";"kaksikymmentä";"20"
"thirty";"kolmekymmentä";"30"
"fourty";"neljäkymmentä";"40"
"fifty";"viisikymmentä";"50"
"sixty";"kuusikymmentä";"60"
"seventy";"seitsemänkymmentä";"70"
"eighty";"kahdeksankymmentä";"80"
"ninety";"yhdeksänkymmentä";"90"
"one hundred";"sata";"100"
"hundred";"sataa";"100-a"
"one thousand";"tuhat";"1000"
"thousand";"tuhatta";"1000-a"

#
# Special prompts
#

"longpause";"longpause"
"shortpause";"shortpause"
"wait";"wait"
