# Swedish translations for the prompts in narrator package.
# These translations may be overridden by translations provided to the build script.
#
# "identifier";"translation"[;"basename"]*


#
# Date and time
#

"Monday";"måndag"
"Tuesday";"tisdag"
"Wednesday";"onsdag"
"Thursday";"torsdag"
"Friday";"fredag"
"Saturday";"lördag"
"Sunday";"söndag"

"1st";"första"
"2nd";"andra"
"3rd";"tredje"
"4th";"fjärde"
"5th";"femte"
"6th";"sjätte"
"7th";"sjunde"
"8th";"åttonde"
"9th";"nionde"
"10th";"tionde"
"11th";"elfte"
"12th";"tolfte"
"13th";"trettonde"
"14th";"fjortonde"
"15th";"femtonde"
"16th";"sextonde"
"17th";"sjuttonde"
"18th";"adertonde"
"19th";"nittonde"
"20th";"tjugonde"
"21st";"tjugoförsta"
"22nd";"tjugoandra"
"23rd";"tjugotredje"
"24th";"tjugofjärde"
"25th";"tjugofemte"
"26th";"tjugosjätte"
"27th";"tjugosjunde"
"28th";"tjugoåttonde"
"29th";"tjugonionde"
"30th";"trettionde"
"31st";"trettiförsta"

"jan";"januari"
"feb";"februari"
"mar";"mars"
"apr";"april"
"may";"maj"
"jun";"juni"
"jul";"juli"
"aug";"augusti"
"sep";"september"
"oct";"oktober"
"nov";"november"
"dec";"december"

"{dayname} {date} of {month} {year} {yearnum}";"den {date:date(date)} {month:date(month)} {year:date(year)}"
"{hour} {hour12} {minute} {second} {ampm}";"klockan {hour:number} {minute:date(minute)} {second:date(second)}"
#"{year}";"{year:number}"
#"year";"år"

"one hour";"en timme"
"{2} hours";"{2:number} timmar"
"one minute";"en minut"
"{2} minutes";"{2:number} minuter"
"one second";"en sekund"
"{2} seconds";"{2:number} sekunder"
#"minutes"
#"hours"
#"seconds"
"and";"och"

#
# Numbers
#

"plus";"..plus.."
"minus";"..minus.."
"{number}";"{number:number}"
"zero";"noll";"0"
"one";"ett";"1"
"one_special";"en";"1-en"
"two";"två";"2"
"three";"tre";"3"
"four";"fyra";"4"
"five";"fem";"5"
"six";"sex";"6"
"seven";"sju";"7"
"eight";"åtta";"8"
"nine";"nio";"9"
"ten";"tio";"10"
"eleven";"elva";"11"
"twelve";"tolv";"12"
"thirteen";"tretton";"13"
"fourteen";"fjorton";"14"
"fifteen";"femton";"15"
"sixteen";"sexton";"16"
"seventeen";"sjutton";"17"
"eighteen";"aderton";"18"
"nineteen";"nitton";"19"
"twenty";"tjugo";"20"
"thirty";"trettio";"30"
"fourty";"fyrtio";"40"
"fifty";"femtio";"50"
"sixty";"sextio";"60"
"seventy";"sjuttio";"70"
"eighty";"åttio";"80"
"ninety";"nittio";"90"
"one hundred";"ett hundra";"100-ett"
"hundred";"hundra";"100"
"one thousand";"ett tusen";"1000-ett"
"thousand";"tusen";"1000"

#
# Letters and symbols
#

"A";"A"
"B";"B"
"C";"C"
"D";"D"
"E";"E"
"F";"F"
"G";"G"
"H";"H"
"I";"I"
"J";"J"
"K";"K"
"L";"L"
"M";"M"
"N";"N"
"O";"O"
"P";"P"
"Q";"Q"
"R";"R"
"S";"S"
"T";"T"
"U";"U"
"V";"V"
"W";"W"
"X";"X"
"Y";"Y"
"Z";"Z"

"!";"utropstecken";"utropstecken"
"#";"fyrkant";"fyrkant"
"%";"procent";"procent"
"*";"stjärna";"stjarna"
"+";"plus";"plus"
",";"komma";"komma"
"-";"minus";"minus"
".";"punkt";"punkt"
"/";"snedstreck";"snedstreck"
":";"kolon";"kolon"
";";"semikolon";"semikolon"
"?";"frågetecken";"fragetecken"
"@";"snabel-a";"snabel-a"
"_";"understreck";"understreck"
"~";"tilde";"tilde"

#
# Special prompts
#

"longpause";"longpause"
"shortpause";"shortpause"
"wait";"wait"
